object_type,object_id,st_astext
way,371537919,POINT (7.481230 9.044801)
way,371537919,POINT (7.481397 9.044906)
way,371515114,POINT (7.500793 9.043772)
way,174722972,POINT (7.477218 9.051108)
way,188837216,POINT (7.477370 9.051206)
way,371537886,POINT (7.483806 9.046883)
way,371537886,POINT (7.483918 9.046953)
way,371538142,POINT (7.483950 9.046648)
way,371538142,POINT (7.484068 9.046723)
way,371537922,POINT (7.484171 9.046563)
way,188152418,POINT (7.486344 9.050959)
way,258412651,POINT (7.486447 9.051027)
way,371537892,POINT (7.487657 9.048951)
way,371537892,POINT (7.487775 9.049023)
way,371537922,POINT (7.487864 9.048884)
way,371537922,POINT (7.487741 9.048809)
way,188212334,POINT (7.491426 9.051125)
way,188212308,POINT (7.491542 9.051198)
way,188152431,POINT (7.493362 9.048304)
way,258357496,POINT (7.494950 9.053649)
way,371537890,POINT (7.493202 9.052548)
way,371537914,POINT (7.493350 9.052315)
way,371537914,POINT (7.495110 9.053392)
way,371537914,POINT (7.495202 9.053448)
way,4863117,POINT (7.495044 9.053707)
way,371515127,POINT (7.500655 9.046316)
way,371538249,POINT (7.500908 9.045511)
way,187335647,POINT (7.500911 9.052421)
way,371292403,POINT (7.504966 9.054979)
way,371292403,POINT (7.505035 9.055005)
way,371292412,POINT (7.497036 9.050552)
way,371292413,POINT (7.497161 9.050373)
way,371292414,POINT (7.501043 9.052501)
way,371292417,POINT (7.496905 9.050739)
way,371515117,POINT (7.497254 9.050241)
way,371515121,POINT (7.495489 9.049157)
way,371515121,POINT (7.495118 9.049650)
way,371515121,POINT (7.495254 9.049469)
way,371515121,POINT (7.495397 9.049279)
way,371537914,POINT (7.493350 9.052315)
way,371537914,POINT (7.495110 9.053392)
way,371537914,POINT (7.495202 9.053448)
way,371292403,POINT (7.504966 9.054979)
way,371292403,POINT (7.505035 9.055005)
way,371292402,POINT (7.505077 9.054809)
way,371292402,POINT (7.505150 9.054833)
way,371292399,POINT (7.511569 9.053758)
way,371292399,POINT (7.511462 9.053818)
way,371292395,POINT (7.511677 9.053937)
way,371292395,POINT (7.511567 9.053999)
way,371292394,POINT (7.511810 9.054152)
way,371292394,POINT (7.511695 9.054216)
way,371292400,POINT (7.511901 9.054300)
way,371292400,POINT (7.511785 9.054365)
way,269078180,POINT (7.518668 9.050056)
way,269078180,POINT (7.518848 9.050182)
way,4872664,POINT (7.518882 9.050005)
way,4872664,POINT (7.519074 9.050134)
way,188152438,POINT (7.483646 9.055257)
way,212108396,POINT (7.483764 9.055330)
way,188212311,POINT (7.487325 9.057582)
way,188212332,POINT (7.487441 9.057656)
way,371292403,POINT (7.504966 9.054979)
way,371292403,POINT (7.505035 9.055005)
way,169038141,POINT (7.464731 9.071000)
way,169038141,POINT (7.464841 9.070941)
way,188828232,POINT (7.464812 9.071205)
way,188828232,POINT (7.464921 9.071152)
way,38631191,POINT (-13.707145 9.508181)
way,205976198,POINT (8.888470 9.910808)
way,205287995,POINT (8.894776 9.907538)
way,205287995,POINT (8.894776 9.907547)
way,39662154,POINT (7.406635 10.472910)
way,39662132,POINT (7.409196 10.471246)
