way_id,geom
371537892,"MULTIPOINT ((7.487657 9.048951), (7.487775 9.049023))"
371537922,"MULTIPOINT ((7.487864 9.048884), (7.487741 9.048809))"
188212334,"POINT (7.491426 9.051125)"
188212308,"POINT (7.491542 9.051198)"
188152431,"POINT (7.493362 9.048304)"
258357496,"POINT (7.494950 9.053649)"
371537890,"POINT (7.493202 9.052548)"
371537914,"MULTIPOINT ((7.493350 9.052315), (7.495110 9.053392), (7.495202 9.053448))"
4863117,"POINT (7.495044 9.053707)"
371515127,"POINT (7.500655 9.046316)"
371538249,"POINT (7.500908 9.045511)"
187335647,"POINT (7.500911 9.052421)"
371292403,"MULTIPOINT ((7.504966 9.054979), (7.505035 9.055005))"
371292412,"POINT (7.497036 9.050552)"
371292413,"POINT (7.497161 9.050373)"
371292414,"POINT (7.501043 9.052501)"
371292417,"POINT (7.496905 9.050739)"
371515117,"POINT (7.497254 9.050241)"
371515121,"MULTIPOINT ((7.495489 9.049157), (7.495118 9.049650), (7.495254 9.049469), (7.495397 9.049279))"
371537914,"MULTIPOINT ((7.493350 9.052315), (7.495110 9.053392), (7.495202 9.053448))"
371292403,"MULTIPOINT ((7.504966 9.054979), (7.505035 9.055005))"
371292402,"MULTIPOINT ((7.505077 9.054809), (7.505150 9.054833))"
371292399,"MULTIPOINT ((7.511569 9.053758), (7.511462 9.053818))"
371292395,"MULTIPOINT ((7.511677 9.053937), (7.511567 9.053999))"
371292394,"MULTIPOINT ((7.511810 9.054152), (7.511695 9.054216))"
371292400,"MULTIPOINT ((7.511901 9.054300), (7.511785 9.054365))"
269078180,"MULTIPOINT ((7.518668 9.050056), (7.518848 9.050182))"
4872664,"MULTIPOINT ((7.518882 9.050005), (7.519074 9.050134))"
188152438,"POINT (7.483646 9.055257)"
212108396,"POINT (7.483764 9.055330)"
188212311,"POINT (7.487325 9.057582)"
188212332,"POINT (7.487441 9.057656)"
371292403,"MULTIPOINT ((7.504966 9.054979), (7.505035 9.055005))"
169038141,"MULTIPOINT ((7.464731 9.071000), (7.464841 9.070941))"
188828232,"MULTIPOINT ((7.464812 9.071205), (7.464921 9.071152))"
38631191,"POINT (-13.707145 9.508181)"
205976198,"POINT (8.888470 9.910808)"
205287995,"MULTIPOINT ((8.894776 9.907538), (8.894776 9.907547))"
39662154,"POINT (7.406635 10.472910)"
39662132,"POINT (7.409196 10.471246)"
39662180,"POINT (7.410543 10.471638)"
112625169,"POINT (7.453367 10.562997)"
179949478,"POINT (7.721724 11.086424)"
308639460,"POINT (10.191885 11.679785)"
161619587,"POINT (8.559965 11.936584)"
289548950,"POINT (8.535098 11.964937)"
339747997,"POINT (8.557787 11.959743)"
247268987,"POINT (8.570869 11.972789)"
162040619,"POINT (8.462046 11.978726)"
247104206,"MULTIPOINT ((8.566086 11.989010), (8.566208 11.988236), (8.566299 11.987887))"
247104214,"POINT (8.566019 11.990998)"
270799686,"POINT (8.496406 12.021282)"
222081197,"POINT (4.195148 12.446902)"
361950953,"POINT (-17.461174 14.722257)"
245611414,"POINT (-17.428639 14.730591)"
336401854,"POINT (-17.424654 14.737076)"
349555394,"POINT (32.591371 15.508598)"
178172192,"POINT (32.529247 15.515496)"
336254461,"POINT (32.532760 15.523127)"
343843784,"POINT (32.571801 15.541873)"
156537452,"MULTIPOINT ((32.579486 15.547943), (32.580133 15.548022))"
26493567,"POINT (32.572147 15.595599)"
30639832,"POINT (32.572258 15.600390)"
30639829,"POINT (32.576062 15.599254)"
218220362,"MULTIPOINT ((32.544407 15.612899), (32.544394 15.612977))"
145602402,"MULTIPOINT ((32.488272 15.653686), (32.488293 15.654115))"
5137394,"POINT (32.487884 15.654089)"
85759865,"POINT (32.488297 15.654191)"
5137394,"MULTIPOINT ((32.487118 15.655754), (32.487269 15.655425))"
136466852,"POINT (32.485924 15.661376)"
338360831,"POINT (32.540807 15.658834)"
94168726,"POINT (31.179466 27.188122)"
94169028,"POINT (31.179872 27.188217)"
364381915,"POINT (30.756504 28.097668)"
178505875,"POINT (30.757134 28.098020)"
174329157,"POINT (34.938871 29.277843)"
97246453,"POINT (30.839343 29.306379)"
96599408,"POINT (30.840425 29.305190)"
96747515,"POINT (30.840479 29.308508)"
96747525,"POINT (30.845420 29.313013)"
96624911,"POINT (30.847966 29.314927)"
95989512,"POINT (30.848079 29.312842)"
96624902,"MULTIPOINT ((30.848884 29.314835), (30.848873 29.314528))"
94184979,"POINT (30.849608 29.314467)"
96624919,"POINT (30.849624 29.314772)"
96854555,"POINT (30.836824 29.318756)"
96854563,"POINT (30.837242 29.318742)"
96854549,"MULTIPOINT ((30.836985 29.318930), (30.837451 29.319427), (30.837295 29.319263), (30.837142 29.319099))"
96854557,"MULTIPOINT ((30.837666 29.319262), (30.837544 29.319083), (30.837387 29.318906))"
29185982,"POINT (34.968779 29.553860)"
30623425,"POINT (34.966365 29.549237)"
30623431,"POINT (34.965446 29.549482)"
30623434,"POINT (34.966560 29.549123)"
30623442,"POINT (34.966655 29.549760)"
42998288,"POINT (34.966404 29.549102)"
165073813,"POINT (34.965390 29.549711)"
356386384,"POINT (34.966498 29.549335)"
134166128,"POINT (32.351764 29.666826)"
134166118,"POINT (32.356619 29.671789)"
98776184,"POINT (31.062157 29.964151)"
28829555,"POINT (31.257496 29.961352)"
28916650,"POINT (31.256745 29.960942)"
38811084,"POINT (31.257402 29.958486)"
